Name,Vac,Pso,Paco,Pdco,Vdco,C0,C1,C2,C3,Pnt,Vdcmax,Idcmax,Mppt_low,Mppt_high,CEC_Date,CEC_Type
Units,V,W,W,W,V,1/W,1/V,1/V,1/V,W,V,A,V,V,,
[0],inv_snl_ac_voltage,inv_snl_pso,inv_snl_paco,inv_snl_pdco,inv_snl_vdco,inv_snl_c0,inv_snl_c1,inv_snl_c2,inv_snl_c3,inv_snl_pnt,inv_snl_vdcmax,inv_snl_idcmax,inv_snl_mppt_low,inv_snl_mppt_hi,inv_cec_date,inv_cec_type
ABB: MICRO-0.25-I-OUTD-US-208 [208V],208,2.089607,250,259.588593,40,-0.000041,-0.000091,0.000494,-0.013171,0.075,50,6.489715,30,50,n/a,Utility Interactive
ABB: MICRO-0.25-I-OUTD-US-240 [240V],240,2.240412,250,259.492065,40,-0.000039,-0.000132,0.002418,-0.014926,0.075,50,6.487302,30,50,n/a,Utility Interactive
ABB: MICRO-0.3-I-OUTD-US-208 [208V],208,1.846506,300,311.66925,40,-0.000033,-0.000192,0.000907,-0.031742,0.09,50,7.791731,30,50,n/a,Utility Interactive
ABB: MICRO-0.3-I-OUTD-US-240 [240V],240,1.950539,300,311.580872,40,-0.000034,-0.000256,0.002453,-0.028223,0.09,50,7.789522,30,50,n/a,Utility Interactive
ABB: MICRO-0.3HV-I-OUTD-US-208 [208V],208,1.769444,300,312.421082,45,-0.000045,-0.000196,0.001959,-0.023725,0.09,60,6.942691,30,60,n/a,Utility Interactive
ABB: MICRO-0.3HV-I-OUTD-US-240 [240V],240,1.843781,300,312.004578,45,-0.000035,-0.000227,-0.000526,-0.041214,0.09,60,6.933435,30,60,n/a,Utility Interactive
ABB: PVI-10.0-I-OUTD-x-US-208-y [208V],208,46.863808,10000,10488.30664,320,-2.78E-06,-0.000036,0.000305,-0.002351,0.1,416,32.775958,220,416,n/a,Utility Interactive
ABB: PVI-10.0-I-OUTD-x-US-480-y-z [480V],480,67.790878,10000,10295.97949,362,-1.39E-06,-0.000049,-0.00052,-0.003855,0.4,416,28.441932,220,416,n/a,Utility Interactive
ABB: PVI-12.0-I-OUTD-x-US-480-y [480V],480,62.554672,12000,12358.80469,370,-1.01E-06,-0.000056,-0.001437,-0.007112,0.4,416,33.402175,250,416,n/a,Utility Interactive
ABB: PVI-3.0-OUTD-S-US [208V],208,18.166279,3000,3142.30127,310,-8.04E-06,-0.000011,0.000999,-0.000287,0.1,480,10.136456,100,480,n/a,Utility Interactive
ABB: PVI-3.0-OUTD-S-US [240V],240,16.880829,3000,3121.669922,340,-5.70E-06,-0.000021,0.000582,-0.000712,0.1,480,9.181382,100,480,n/a,Utility Interactive
ABB: PVI-3.0-OUTD-S-US [277V],277,22.045107,3000,3106.850098,390,-5.46E-06,-0.000033,-0.000032,-0.00118,0.2,480,7.966282,100,480,n/a,Utility Interactive
ABB: PVI-3.0-OUTD-S-US-A [208V],208,18.166279,3000,3142.30127,310,-8.04E-06,-0.000011,0.000999,-0.000287,0.1,480,10.136456,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.0-OUTD-S-US-A [240V],240,16.880829,3000,3121.669922,340,-5.70E-06,-0.000021,0.000582,-0.000712,0.1,480,9.181382,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.0-OUTD-S-US-A [277V],277,22.045107,3000,3106.850098,390,-5.46E-06,-0.000033,-0.000032,-0.00118,0.2,480,7.966282,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.0-OUTD-S-US-Z [208V],208,18.166279,3000,3142.30127,310,-8.04E-06,-0.000011,0.000999,-0.000287,0.1,480,10.136456,100,480,n/a,Utility Interactive
ABB: PVI-3.0-OUTD-S-US-Z [240V],240,16.880829,3000,3121.669922,340,-5.70E-06,-0.000021,0.000582,-0.000712,0.1,480,9.181382,100,480,n/a,Utility Interactive
ABB: PVI-3.0-OUTD-S-US-Z [277V],277,22.045107,3000,3106.850098,390,-5.46E-06,-0.000033,-0.000032,-0.00118,0.2,480,7.966282,100,480,n/a,Utility Interactive
ABB: PVI-3.0-OUTD-S-US-Z-A [208V],208,18.166279,3000,3142.30127,310,-8.04E-06,-0.000011,0.000999,-0.000287,0.1,480,10.136456,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.0-OUTD-S-US-Z-A [240V],240,16.880829,3000,3121.669922,340,-5.70E-06,-0.000021,0.000582,-0.000712,0.1,480,9.181382,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.0-OUTD-S-US-Z-A [277V],277,22.045107,3000,3106.850098,390,-5.46E-06,-0.000033,-0.000032,-0.00118,0.2,480,7.966282,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.0-OUTD-S-US-Z-M-A [208V],208,18.166279,3000,3142.30127,310,-8.04E-06,-0.000011,0.000999,-0.000287,0.9,480,10.136456,100,480,10/15/2018,Utility Interactive
