Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
TMY3,724380,Indianapolis Intl Ap,IN,USA,39.717000,-86.267000,-5,241
Year,Month,Day,Hour,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Albedo
1976,1,1,0,0,0,0,-1.7,-3.3,89,987,5.2,30,0
1976,1,1,1,0,0,0,-2.8,-3.9,92,989,3.1,350,0
1976,1,1,2,0,0,0,-3.3,-3.9,96,989,2.6,350,0
1976,1,1,3,0,0,0,-3.9,-4.4,96,990,3.1,350,0
1976,1,1,4,0,0,0,-3.9,-3.9,100,990,3.1,10,0
1976,1,1,5,0,0,0,-3.9,-4.4,96,991,2.6,10,0
1976,1,1,6,0,0,0,-3.3,-3.9,96,992,3.1,40,0
1976,1,1,7,0,0,0,-2.8,-2.8,100,992,5.2,80,0
1976,1,1,8,36,24,34,-2.8,-2.8,100,992,4.1,80,0
1976,1,1,9,72,14,69,-2.2,-2.2,100,993,4.1,100,0
1976,1,1,10,189,126,147,-2.2,-2.2,100,993,3.6,90,0
1976,1,1,11,211,66,184,-1.7,-2.2,96,993,3.1,100,0
1976,1,1,12,156,36,139,-1.1,-1.7,96,993,3.6,110,0
1976,1,1,13,191,2,190,-1.1,-1.7,96,992,4.1,130,0
1976,1,1,14,209,11,205,-0.6,-1.1,96,992,4.6,120,0
1976,1,1,15,116,8,113,-0.6,-1.7,92,992,5.2,130,0
1976,1,1,16,57,3,57,-1.1,-1.7,96,993,3.6,140,0
1976,1,1,17,11,0,11,-1.1,-1.1,100,993,3.6,130,0
1976,1,1,18,0,0,0,-1.1,-1.1,100,993,5.7,130,0
1976,1,1,19,0,0,0,-1.1,-1.1,100,992,5.7,130,0
1976,1,1,20,0,0,0,-0.6,-0.6,100,991,5.2,140,0
1976,1,1,21,0,0,0,-1.1,-1.1,100,991,6.7,150,0
1976,1,1,22,0,0,0,-1.1,-1.1,100,990,6.7,130,0
1976,1,1,23,0,0,0,-1.1,-1.1,100,990,6.2,140,0
1976,1,2,0,0,0,0,-0.6,-0.6,100,989,5.7,170,0
1976,1,2,1,0,0,0,-0.6,-0.6,100,990,5.2,160,0
1976,1,2,2,0,0,0,-0.6,-0.6,100,989,6.7,140,0
1976,1,2,3,0,0,0,-0.6,-0.6,100,989,5.2,140,0
1976,1,2,4,0,0,0,0,0,100,988,5.7,140,0
1976,1,2,5,0,0,0,0,0,100,988,5.7,140,0
1976,1,2,6,0,0,0,0,0,100,987,4.6,140,0
1976,1,2,7,0,0,0,0.6,0.6,100,987,4.6,170,0
1976,1,2,8,25,0,25,0.6,0.6,100,987,2.6,170,0
1976,1,2,9,55,3,54,1.1,1.1,100,988,3.1,170,0
1976,1,2,10,92,0,92,1.7,1.7,100,988,3.6,180,0
1976,1,2,11,131,1,131,2.8,2.8,100,987,4.6,180,0
1976,1,2,12,142,0,142,3.3,3.3,100,985,4.1,170,0
1976,1,2,13,130,0,130,3.9,3.9,100,985,4.6,220,0
1976,1,2,14,117,0,116,4.4,4.4,100,985,5.2,230,0
1976,1,2,15,136,1,136,5,5,100,985,5.7,250,0
1976,1,2,16,40,1,40,3.9,1.7,85,986,7.7,250,0
1976,1,2,17,8,0,8,1.1,1.1,100,987,4.1,240,0
1976,1,2,18,0,0,0,0.6,0.6,100,986,4.1,240,0
1976,1,2,19,0,0,0,0,0,100,986,5.2,260,0
1976,1,2,20,0,0,0,0,-1.7,89,986,4.1,250,0
1976,1,2,21,0,0,0,0,-0.6,96,987,4.1,250,0
1976,1,2,22,0,0,0,0,-0.6,96,987,3.6,250,0
1976,1,2,23,0,0,0,-0.6,-1.1,96,986,4.1,260,0
1976,1,3,0,0,0,0,-0.6,-2.2,89,985,4.6,280,0
1976,1,3,1,0,0,0,-1.1,-2.2,92,985,4.6,280,0
1976,1,3,2,0,0,0,-2.2,-3.3,92,986,6.7,290,0
1976,1,3,3,0,0,0,-2.2,-4.4,85,986,6.7,300,0
1976,1,3,4,0,0,0,-2.8,-4.4,88,986,6.7,280,0
1976,1,3,5,0,0,0,-3.3,-5,88,987,7.2,280,0
1976,1,3,6,0,0,0,-3.3,-5,88,987,6.2,280,0
1976,1,3,7,0,0,0,-3.3,-5.6,85,987,9.3,290,0
1976,1,3,8,25,0,25,-3.9,-5.6,88,988,5.7,280,0
1976,1,3,9,83,0,83,-4.4,-6.7,85,989,8.2,260,0
1976,1,3,10,179,101,145,-3.9,-6.7,81,990,8.2,240,0
1976,1,3,11,327,460,134,-5,-7.8,81,990,8.2,260,0
1976,1,3,12,337,479,117,-4.4,-8.3,75,990,6.2,270,0
1976,1,3,13,388,529,151,-4.4,-8.9,71,989,8.8,260,0
1976,1,3,14,224,77,193,-4.4,-8.3,75,990,9.3,270,0
1976,1,3,15,143,71,122,-5.6,-8.9,78,990,9.8,280,0
1976,1,3,16,51,22,47,-6.7,-9.4,81,991,8.8,270,0
1976,1,3,17,16,19,14,-7.2,-10,81,992,8.2,280,0
1976,1,3,18,0,0,0,-7.2,-10,81,992,8.2,280,0
1976,1,3,19,0,0,0,-7.8,-12.2,71,993,9.8,280,0
1976,1,3,20,0,0,0,-8.3,-12.8,71,993,8.2,280,0
1976,1,3,21,0,0,0,-8.9,-12.8,74,994,8.8,280,0
1976,1,3,22,0,0,0,-8.9,-12.2,77,995,9.3,270,0
1976,1,3,23,0,0,0,-9.4,-12.2,80,995,7.2,270,0
1976,1,4,0,0,0,0,-9.4,-12.8,77,995,8.2,280,0
1976,1,4,1,0,0,0,-10,-12.2,84,995,8.8,290,0
1976,1,4,2,0,0,0,-10.6,-13.9,77,996,7.7,280,0
1976,1,4,3,0,0,0,-10.6,-12.8,84,997,7.7,300,0
1976,1,4,4,0,0,0,-11.7,-15,77,997,8.8,300,0
1976,1,4,5,0,0,0,-12.8,-16.7,73,998,8.8,300,0
1976,1,4,6,0,0,0,-13.3,-15.6,84,999,6.2,300,0
1976,1,4,7,0,0,0,-14.4,-16.1,87,999,6.2,300,0
1976,1,4,8,34,84,27,-13.9,-16.1,83,1000,6.2,290,0
1976,1,4,9,128,291,67,-13.9,-16.7,80,1001,7.7,300,0
1976,1,4,10,231,420,90,-13.3,-20,58,1002,7.2,300,0
1976,1,4,11,192,37,177,-12.8,-18.9,61,1003,7.7,290,0
1976,1,4,12,381,453,173,-12.2,-18.3,61,1002,7.2,280,0
1976,1,4,13,315,390,139,-11.1,-17.2,61,1002,6.7,330,0
1976,1,4,14,318,508,118,-11.7,-17.8,61,1002,6.7,300,0
1976,1,4,15,262,670,65,-10.6,-17.2,58,1002,6.7,270,0
1976,1,4,16,102,298,54,-11.1,-17.2,61,1003,5.7,290,0
1976,1,4,17,22,124,10,-12.2,-17.2,67,1003,3.1,290,0
1976,1,4,18,0,0,0,-12.8,-16.1,76,1004,2.6,270,0
1976,1,4,19,0,0,0,-12.8,-16.1,76,1004,2.6,260,0
1976,1,4,20,0,0,0,-13.3,-16.1,80,1004,2.1,260,0
1976,1,4,21,0,0,0,-13.3,-16.1,80,1003,1.5,220,0
1976,1,4,22,0,0,0,-13.9,-16.1,83,1003,2.1,210,0
1976,1,4,23,0,0,0,-14.4,-16.1,87,1003,1.5,230,0
1976,1,5,0,0,0,0,-14.4,-16.1,87,1003,1.5,230,0
1976,1,5,1,0,0,0,-14.4,-16.1,87,1003,0,0,0
1976,1,5,2,0,0,0,-15,-16.7,87,1003,0,0,0
1976,1,5,3,0,0,0,-15,-16.7,87,1003,2.1,160,0
1976,1,5,4,0,0,0,-15,-17.2,83,1003,2.1,180,0
1976,1,5,5,0,0,0,-15,-16.7,87,1004,2.6,230,0
1976,1,5,6,0,0,0,-15.6,-17.2,87,1004,2.1,200,0
1976,1,5,7,0,0,0,-14.4,-16.1,87,1004,2.6,170,0
1976,1,5,8,41,28,39,-12.8,-15,84,1004,5.2,190,0
1976,1,5,9,87,10,85,-11.7,-13.9,84,1005,3.6,180,0
1976,1,5,10,115,10,112,-11.1,-13.3,84,1005,4.6,170,0
1976,1,5,11,211,3,209,-10,-13.9,74,1004,4.6,180,0
1976,1,5,12,256,130,196,-8.9,-11.7,81,1003,5.7,170,0
1976,1,5,13,424,665,123,-7.2,-11.1,74,1001,5.2,140,0
1976,1,5,14,395,881,46,-6.7,-11.1,71,1000,5.2,180,0
1976,1,5,15,274,797,37,-6.1,-10.6,71,1000,3.6,180,0
1976,1,5,16,123,599,26,-6.1,-11.1,68,1001,4.6,170,0
1976,1,5,17,24,145,10,-7.2,-11.1,74,1000,3.6,170,0
1976,1,5,18,0,0,0,-7.8,-11.1,77,1000,3.1,160,0
1976,1,5,19,0,0,0,-7.8,-11.1,77,999,3.6,160,0
1976,1,5,20,0,0,0,-7.8,-11.1,77,999,5.2,160,0
1976,1,5,21,0,0,0,-8.3,-10.6,84,999,5.2,150,0
1976,1,5,22,0,0,0,-8.3,-10.6,84,998,4.6,160,0
1976,1,5,23,0,0,0,-8.9,-10.6,88,998,4.1,160,0
1976,1,6,0,0,0,0,-9.4,-10.6,92,998,3.1,140,0
1976,1,6,1,0,0,0,-8.9,-10.6,88,997,3.1,150,0
1976,1,6,2,0,0,0,-8.9,-10.6,88,997,2.6,150,0
1976,1,6,3,0,0,0,-8.9,-10.6,88,997,2.6,160,0
1976,1,6,4,0,0,0,-8.3,-10,88,996,4.1,170,0
1976,1,6,5,0,0,0,-8.9,-10.6,88,996,2.6,170,0
1976,1,6,6,0,0,0,-8.3,-10.6,84,995,3.1,160,0
1976,1,6,7,0,0,0,-8.3,-10.6,84,995,3.1,160,0
1976,1,6,8,29,97,21,-8.3,-10,88,995,3.6,160,0
1976,1,6,9,141,369,62,-5.6,-8.9,78,994,7.2,160,0
1976,1,6,10,184,90,154,-2.8,-8.3,66,994,5.2,190,0
1976,1,6,11,217,78,184,-0.6,-7.2,61,993,6.7,180,0
1976,1,6,12,335,347,175,1.1,-7.2,54,991,7.2,210,0
1976,1,6,13,355,342,200,2.2,-7.8,48,990,7.2,180,0
1976,1,6,14,260,224,171,3.3,-7.8,44,990,6.2,180,0
1976,1,6,15,103,33,93,3.3,-7.8,44,989,6.2,170,0
1976,1,6,16,44,5,43,2.8,-6.7,50,989,5.7,160,0
1976,1,6,17,11,0,11,2.2,-5.6,57,988,5.2,170,0
1976,1,6,18,0,0,0,2.2,-4.4,62,988,4.1,160,0
1976,1,6,19,0,0,0,2.2,-4.4,62,987,4.6,150,0
1976,1,6,20,0,0,0,2.2,-4.4,62,986,6.2,160,0
1976,1,6,21,0,0,0,2.8,-4.4,59,986,6.2,170,0
1976,1,6,22,0,0,0,3.3,-5,55,986,5.2,200,0
1976,1,6,23,0,0,0,3.3,-4.4,57,986,4.6,200,0
1976,1,7,0,0,0,0,3.3,-4.4,57,985,6.2,190,0
1976,1,7,1,0,0,0,3.3,-4.4,57,985,4.1,190,0
1976,1,7,2,0,0,0,3.9,-1.7,67,985,5.7,230,0
1976,1,7,3,0,0,0,0.6,0,96,986,4.6,230,0
1976,1,7,4,0,0,0,0,0,100,985,4.6,210,0
1976,1,7,5,0,0,0,0,0,100,985,4.6,200,0
1976,1,7,6,0,0,0,0,0,100,985,5.7,210,0
1976,1,7,7,0,0,0,0,0,100,985,2.6,220,0
1976,1,7,8,19,3,18,0,0,100,986,2.1,220,0
1976,1,7,9,71,6,70,0,0,100,986,2.1,260,0
1976,1,7,10,150,6,148,0,0,100,987,4.1,320,0
1976,1,7,11,192,7,189,0,-0.6,96,986,4.6,350,0
1976,1,7,12,239,1,239,0,-0.6,96,985,5.2,360,0
1976,1,7,13,221,2,220,-1.7,-2.2,96,985,7.7,350,0
1976,1,7,14,176,3,174,-3.3,-4.4,92,986,8.2,350,0
1976,1,7,15,135,1,135,-3.9,-5.6,88,987,10.3,350,0
1976,1,7,16,67,1,67,-3.9,-7.2,78,988,10.3,360,0
1976,1,7,17,14,0,14,-5,-7.8,81,988,10.3,360,0
1976,1,7,18,0,0,0,-5.6,-8.3,81,989,10.3,360,0
1976,1,7,19,0,0,0,-6.1,-8.9,81,990,8.2,350,0
1976,1,7,20,0,0,0,-6.1,-9.4,78,990,7.7,10,0
1976,1,7,21,0,0,0,-6.7,-8.3,88,991,9.3,340,0
1976,1,7,22,0,0,0,-8.9,-11.1,84,992,9.3,330,0
1976,1,7,23,0,0,0,-11.1,-13.3,84,992,7.7,320,0
1976,1,8,0,0,0,0,-12.2,-15,80,992,6.7,330,0
1976,1,8,1,0,0,0,-13.9,-16.7,80,992,7.7,320,0
1976,1,8,2,0,0,0,-14.4,-17.2,80,993,8.2,330,0
1976,1,8,3,0,0,0,-16.7,-19.4,79,994,7.7,330,0
1976,1,8,4,0,0,0,-16.7,-19.4,79,994,6.7,310,0
1976,1,8,5,0,0,0,-18.3,-25,56,995,6.2,310,0
1976,1,8,6,0,0,0,-19.4,-25.6,59,995,5.2,310,0
1976,1,8,7,0,0,0,-19.4,-26.1,56,996,5.2,310,0
1976,1,8,8,41,234,20,-20,-26.7,56,997,5.2,310,0
1976,1,8,9,176,632,42,-19.4,-25.6,59,997,5.2,310,0
1976,1,8,10,325,792,57,-18.9,-25,59,998,4.1,280,0
1976,1,8,11,430,856,67,-17.8,-23.9,59,997,3.6,300,0
1976,1,8,12,484,886,72,-16.7,-22.2,62,997,5.7,290,0
1976,1,8,13,472,874,71,-15.6,-21.7,60,996,5.7,300,0
1976,1,8,14,404,841,64,-15,-21.1,60,996,6.2,290,0
1976,1,8,15,282,753,52,-14.4,-20.6,60,997,5.2,280,0
1976,1,8,16,129,551,36,-14.4,-21.7,55,998,5.7,280,0
1976,1,8,17,25,112,14,-16.1,-21.7,63,998,4.6,270,0
1976,1,8,18,0,0,0,-16.7,-21.7,66,998,3.6,260,0
1976,1,8,19,0,0,0,-17.2,-21.7,69,998,4.6,250,0
1976,1,8,20,0,0,0,-17.8,-22.2,68,998,6.2,260,0
1976,1,8,21,0,0,0,-17.8,-22.2,68,998,5.2,250,0
1976,1,8,22,0,0,0,-17.8,-22.2,68,998,5.2,250,0
1976,1,8,23,0,0,0,-17.8,-22.2,68,998,5.2,240,0
1976,1,9,0,0,0,0,-17.8,-22.2,68,998,5.2,260,0
1976,1,9,1,0,0,0,-17.8,-22.8,65,998,5.2,250,0
1976,1,9,2,0,0,0,-18.3,-22.8,68,998,3.6,230,0
1976,1,9,3,0,0,0,-18.9,-22.8,72,999,5.2,240,0
1976,1,9,4,0,0,0,-18.3,-22.8,68,998,5.2,240,0
1976,1,9,5,0,0,0,-18.3,-22.8,68,999,5.2,240,0
1976,1,9,6,0,0,0,-18.3,-22.8,68,999,5.2,240,0
1976,1,9,7,0,0,0,-18.3,-22.8,68,999,4.6,240,0
1976,1,9,8,34,109,24,-18.3,-22.8,68,1000,6.2,240,0
1976,1,9,9,159,462,61,-17.2,-21.7,69,1001,5.2,250,0
1976,1,9,10,292,578,95,-16.1,-21.1,66,1002,5.2,230,0
1976,1,9,11,409,523,187,-14.4,-20.6,60,1001,7.2,230,0
1976,1,9,12,441,574,172,-12.8,-19.4,58,1001,6.2,240,0
1976,1,9,13,359,389,180,-11.7,-18.9,55,1000,6.2,240,0
1976,1,9,14,371,622,118,-11.1,-19.4,51,999,6.7,240,0
1976,1,9,15,250,464,107,-9.4,-18.3,49,1000,5.7,240,0
1976,1,9,16,90,137,67,-10,-18.9,49,1000,4.6,230,0
1976,1,9,17,13,5,13,-10,-17.2,56,999,4.6,220,0
1976,1,9,18,0,0,0,-10,-16.7,59,1000,3.6,220,0
1976,1,9,19,0,0,0,-10,-17.8,53,1000,4.6,220,0
1976,1,9,20,0,0,0,-10.6,-16.7,61,1000,3.6,210,0
1976,1,9,21,0,0,0,-10,-16.1,61,1000,4.1,220,0
1976,1,9,22,0,0,0,-10,-16.1,61,1000,4.1,210,0
1976,1,9,23,0,0,0,-11.7,-16.7,67,1000,3.1,180,0
1976,1,10,0,0,0,0,-12.2,-16.7,70,1000,2.6,160,0
1976,1,10,1,0,0,0,-12.2,-16.7,70,1000,2.6,150,0
1976,1,10,2,0,0,0,-12.2,-16.7,70,1000,3.1,140,0
1976,1,10,3,0,0,0,-11.7,-16.7,67,1000,3.6,150,0
1976,1,10,4,0,0,0,-11.7,-16.7,67,1000,3.1,130,0
1976,1,10,5,0,0,0,-11.7,-15.6,73,1000,3.1,150,0
1976,1,10,6,0,0,0,-11.1,-15,73,1000,3.1,150,0
1976,1,10,7,0,0,0,-11.1,-15,73,1000,3.6,140,0
1976,1,10,8,17,6,16,-10,-13.9,74,999,3.6,150,0
1976,1,10,9,75,3,74,-8.9,-13.9,67,999,3.6,140,0
1976,1,10,10,149,3,148,-7.8,-11.1,77,999,3.1,140,0
1976,1,10,11,182,10,178,-6.7,-10.6,74,999,3.6,140,0
1976,1,10,12,194,5,192,-6.1,-10,74,996,5.2,130,0
1976,1,10,13,275,3,273,-4.4,-8.9,71,995,5.7,150,0
1976,1,10,14,213,5,211,-3.9,-8.3,72,993,5.2,140,0
1976,1,10,15,147,4,145,-3.9,-7.8,75,993,5.7,130,0
1976,1,10,16,69,2,68,-3.3,-7.8,72,991,8.2,140,0
1976,1,10,17,16,0,16,-2.2,-7.2,69,991,7.7,160,0
1976,1,10,18,0,0,0,-2.2,-6.7,72,990,6.7,140,0
1976,1,10,19,0,0,0,-1.7,-5.6,75,989,8.2,150,0
1976,1,10,20,0,0,0,-1.1,-2.8,89,989,4.6,170,0
1976,1,10,21,0,0,0,-1.1,-2.8,89,989,4.1,150,0
1976,1,10,22,0,0,0,-1.1,-2.2,92,988,4.6,160,0
1976,1,10,23,0,0,0,-1.1,-2.2,92,987,4.1,140,0
1976,1,11,0,0,0,0,-1.1,-2.2,92,986,4.1,150,0
1976,1,11,1,0,0,0,1.1,-1.1,85,985,4.1,220,0
1976,1,11,2,0,0,0,2.8,-0.6,79,985,6.2,220,0
1976,1,11,3,0,0,0,2.8,-0.6,79,985,6.7,220,0
1976,1,11,4,0,0,0,2.8,0,82,984,5.7,220,0
1976,1,11,5,0,0,0,2.8,0,82,984,8.2,230,0
1976,1,11,6,0,0,0,2.8,1.1,89,984,6.2,240,0
1976,1,11,7,0,0,0,2.8,1.1,89,984,7.2,240,0
1976,1,11,8,23,0,23,2.8,1.7,92,985,6.2,260,0
1976,1,11,9,89,22,85,1.7,0,89,986,6.7,290,0
1976,1,11,10,115,16,110,1.1,-1.1,85,986,6.7,280,0
1976,1,11,11,232,7,228,1.1,-2.2,79,986,7.7,280,0
1976,1,11,12,155,14,148,0,-2.2,85,986,7.2,270,0
1976,1,11,13,189,9,186,-1.1,-3.9,82,986,8.8,280,0
1976,1,11,14,171,7,168,-2.2,-4.4,85,987,8.2,280,0
1976,1,11,15,130,5,128,-2.8,-5,85,988,7.2,280,0
1976,1,11,16,50,1,50,-2.2,-5,82,989,6.2,270,0
1976,1,11,17,16,0,16,-2.8,-5,85,990,6.2,280,0
1976,1,11,18,0,0,0,-2.8,-5,85,990,6.2,270,0
1976,1,11,19,0,0,0,-2.8,-5.6,81,991,5.7,280,0
1976,1,11,20,0,0,0,-3.3,-5.6,85,991,6.2,280,0
1976,1,11,21,0,0,0,-3.3,-5.6,85,992,5.7,280,0
1976,1,11,22,0,0,0,-3.9,-5.6,88,992,5.7,270,0
1976,1,11,23,0,0,0,-3.9,-5.6,88,992,6.2,270,0
1976,1,12,0,0,0,0,-3.9,-5.6,88,993,6.2,290,0
1976,1,12,1,0,0,0,-3.9,-5.6,88,993,4.1,270,0
1976,1,12,2,0,0,0,-3.9,-5.6,88,993,3.1,280,0
1976,1,12,3,0,0,0,-3.9,-5.6,88,994,3.6,270,0
1976,1,12,4,0,0,0,-4.4,-6.1,88,994,3.1,290,0
1976,1,12,5,0,0,0,-4.4,-6.1,88,994,3.6,220,0
1976,1,12,6,0,0,0,-4.4,-6.1,88,994,2.6,220,0
1976,1,12,7,0,0,0,-5,-6.7,88,994,3.1,180,0
1976,1,12,8,33,136,21,-5,-6.7,88,994,2.6,170,0
1976,1,12,9,158,489,52,-3.9,-5.6,88,994,5.2,160,0
1976,1,12,10,284,609,75,-2.2,-4.4,85,994,5.2,160,0
1976,1,12,11,365,549,128,-0.6,-3.9,78,993,4.6,180,0
1976,1,12,12,417,530,166,1.1,-2.8,76,992,4.1,160,0
1976,1,12,13,410,518,167,2.2,-2.2,73,990,5.2,160,0
1976,1,12,14,394,581,154,3.3,-2.8,65,989,5.2,190,0
1976,1,12,15,198,186,139,3.3,-2.2,67,989,4.1,170,0
1976,1,12,16,85,60,74,1.7,-1.7,79,989,5.2,150,0
1976,1,12,17,22,36,18,1.1,-1.7,82,989,4.6,140,0
1976,1,12,18,0,0,0,0.6,-1.7,85,989,4.6,160,0
1976,1,12,19,0,0,0,-0.6,-2.8,85,989,4.1,140,0
1976,1,12,20,0,0,0,0,-2.2,85,988,4.1,150,0
1976,1,12,21,0,0,0,0,-2.2,85,988,5.2,170,0
1976,1,12,22,0,0,0,0,-2.8,82,987,4.6,170,0
1976,1,12,23,0,0,0,0.6,-2.8,79,986,3.1,160,0
1976,1,13,0,0,0,0,-0.6,-2.2,89,985,2.6,130,0
1976,1,13,1,0,0,0,-0.6,-2.2,89,985,3.1,130,0
1976,1,13,2,0,0,0,-1.1,-2.8,89,985,3.1,130,0
1976,1,13,3,0,0,0,-0.6,-2.2,89,984,3.6,120,0
1976,1,13,4,0,0,0,0,-2.2,85,983,3.6,130,0
1976,1,13,5,0,0,0,0,-0.6,96,983,3.6,130,0
1976,1,13,6,0,0,0,0.6,0,96,981,4.1,110,0
1976,1,13,7,0,0,0,0.6,0,96,981,4.6,170,0
1976,1,13,8,10,2,10,1.1,1.1,100,979,4.1,130,0
1976,1,13,9,51,4,50,1.7,1.7,100,979,3.6,140,0
1976,1,13,10,94,4,92,2.2,2.2,100,977,5.2,130,0
1976,1,13,11,109,6,106,2.8,2.8,100,974,6.7,140,0
1976,1,13,12,115,7,112,3.9,3.9,100,970,6.7,150,0
1976,1,13,13,146,8,142,4.4,4.4,100,968,3.1,130,0
1976,1,13,14,196,7,193,6.1,6.1,100,966,6.2,210,0
1976,1,13,15,94,3,93,4.4,4.4,100,968,8.8,320,0
1976,1,13,16,78,2,77,1.1,1.1,100,970,7.2,320,0
1976,1,13,17,21,0,21,0,0,100,975,8.8,310,0
1976,1,13,18,0,0,0,0.6,0,96,979,9.3,310,0
1976,1,13,19,0,0,0,0.6,-1.1,89,983,9.8,310,0
1976,1,13,20,0,0,0,0,-1.7,89,986,9.8,300,0
1976,1,13,21,0,0,0,-1.7,-3.9,85,988,8.2,300,0
1976,1,13,22,0,0,0,-3.3,-5.6,85,990,7.2,300,0
1976,1,13,23,0,0,0,-4.4,-6.7,85,991,5.2,280,0
1976,1,14,0,0,0,0,-4.4,-7.2,81,991,4.6,300,0
1976,1,14,1,0,0,0,-3.9,-6.7,81,992,4.6,300,0
1976,1,14,2,0,0,0,-3.9,-6.7,81,993,4.6,280,0
1976,1,14,3,0,0,0,-3.9,-6.7,81,994,4.6,290,0
1976,1,14,4,0,0,0,-4.4,-6.7,85,994,5.2,280,0
1976,1,14,5,0,0,0,-5,-7.2,85,995,4.6,270,0
1976,1,14,6,0,0,0,-5.6,-7.8,85,996,5.7,290,0
1976,1,14,7,0,0,0,-6.1,-7.8,88,997,5.2,300,0
1976,1,14,8,27,8,26,-6.1,-8.9,81,998,6.2,320,0
1976,1,14,9,118,177,79,-5.6,-7.8,85,999,5.2,310,0
1976,1,14,10,292,589,88,-5,-7.2,85,1000,5.7,290,0
1976,1,14,11,400,677,105,-3.9,-7.2,78,1000,5.7,280,0
1976,1,14,12,451,706,113,-3.9,-8.3,72,999,5.7,300,0
1976,1,14,13,449,713,112,-3.3,-9.4,63,999,5.2,280,0
1976,1,14,14,381,665,102,-2.2,-10.6,53,999,4.6,260,0
1976,1,14,15,263,558,83,-2.2,-10.6,53,999,4.6,260,0
1976,1,14,16,120,342,56,-2.2,-10,56,999,4.6,270,0
1976,1,14,17,22,35,19,-3.3,-10,60,999,4.1,250,0
1976,1,14,18,0,0,0,-3.9,-10,63,999,2.6,240,0
1976,1,14,19,0,0,0,-4.4,-9.4,68,998,3.6,250,0
1976,1,14,20,0,0,0,-6.1,-9.4,78,998,2.6,240,0
1976,1,14,21,0,0,0,-5.6,-8.3,81,998,4.1,240,0
1976,1,14,22,0,0,0,-5.6,-8.3,81,998,3.1,240,0
1976,1,14,23,0,0,0,-5.6,-7.8,85,998,3.1,240,0
1976,1,15,0,0,0,0,-5.6,-7.8,85,998,3.1,250,0
1976,1,15,1,0,0,0,-5.6,-7.8,85,998,3.6,240,0
1976,1,15,2,0,0,0,-6.7,-8.3,88,998,3.1,240,0
1976,1,15,3,0,0,0,-8.3,-9.4,92,997,2.1,220,0
1976,1,15,4,0,0,0,-7.8,-8.9,92,997,2.1,200,0
1976,1,15,5,0,0,0,-8.3,-9.4,92,996,2.6,150,0
1976,1,15,6,0,0,0,-8.3,-9.4,92,996,3.1,200,0
1976,1,15,7,0,0,0,-7.2,-8.9,88,996,2.6,170,0
1976,1,15,8,36,29,34,-6.1,-6.7,96,996,2.6,150,0
1976,1,15,9,102,26,97,-4.4,-5.6,92,995,4.1,170,0
1976,1,15,10,175,46,159,-2.8,-5,85,995,4.6,180,0
1976,1,15,11,177,6,174,-1.1,-3.9,82,994,5.2,170,0
1976,1,15,12,277,180,190,-0.6,-3.3,82,991,5.7,180,0
1976,1,15,13,241,53,216,0.6,-3.3,75,988,6.2,170,0
1976,1,15,14,319,390,154,1.7,-3.9,67,986,8.2,180,0
1976,1,15,15,142,39,129,2.2,-3.3,67,984,7.7,170,0
1976,1,15,16,82,19,79,2.8,-3.9,62,983,7.7,180,0
1976,1,15,17,15,3,15,2.8,-3.9,62,982,7.2,190,0
1976,1,15,18,0,0,0,2.8,-3.3,65,982,11.3,230,0
1976,1,15,19,0,0,0,1.1,-0.6,89,982,8.2,220,0
1976,1,15,20,0,0,0,0.6,0,96,981,7.7,210,0
1976,1,15,21,0,0,0,0.6,0,96,981,7.7,210,0
1976,1,15,22,0,0,0,0.6,0.6,100,981,5.7,190,0
1976,1,15,23,0,0,0,0.6,0.6,100,980,6.2,190,0
1976,1,16,0,0,0,0,1.1,0.6,96,979,6.7,200,0
1976,1,16,1,0,0,0,1.1,0.6,96,979,6.2,190,0
1976,1,16,2,0,0,0,1.7,0.6,92,979,6.2,220,0
1976,1,16,3,0,0,0,2.2,0.6,89,979,4.6,230,0
1976,1,16,4,0,0,0,1.7,0.6,92,979,5.2,230,0
1976,1,16,5,0,0,0,1.1,0.6,96,979,4.1,250,0
1976,1,16,6,0,0,0,0.6,0.6,100,979,4.1,280,0
1976,1,16,7,0,0,0,0.6,0,96,981,4.1,300,0
1976,1,16,8,29,2,29,0,-1.1,92,982,7.2,320,0
1976,1,16,9,86,2,85,-0.6,-1.7,92,983,7.2,310,0
1976,1,16,10,144,5,142,-1.1,-1.7,96,984,6.2,310,0
1976,1,16,11,229,6,227,-1.1,-2.2,92,984,6.7,330,0
1976,1,16,12,238,1,237,-0.6,-2.8,85,984,7.2,330,0
1976,1,16,13,228,1,228,-0.6,-3.9,78,984,9.3,330,0
1976,1,16,14,270,133,213,-1.1,-5,75,985,8.8,320,0
1976,1,16,15,175,124,134,-1.7,-5,78,985,8.2,340,0
1976,1,16,16,125,286,70,-3.3,-6.7,78,987,9.3,340,0
1976,1,16,17,34,159,18,-5.6,-8.9,78,988,9.3,320,0
1976,1,16,18,0,0,0,-6.7,-10.6,74,989,10.3,330,0
1976,1,16,19,0,0,0,-7.8,-11.1,77,990,8.2,330,0
1976,1,16,20,0,0,0,-8.3,-11.7,77,991,5.2,310,0
1976,1,16,21,0,0,0,-8.9,-11.7,81,991,4.1,310,0
