TECHNOLOGY,FINANCING,ANNUAL_OUTPUT,LCOE_NOM,LPPA_NOM,MESSAGES
Flat Plate PV,Residential,6856.65,8.23065,NA,; 
Flat Plate PV,Commercial,358876,7.00246,NA,; 
Flat Plate PV,Single Owner,37211888,10.7844,11.087,; 
Flat Plate PV,Leveraged Partnership Flip,37211888,11.356,15.7689,; 
Flat Plate PV,All Equity Partnership Flip,37211888,20.5218,29.0766,; 
Flat Plate PV,Sale Leaseback,37211888,14.3599,13.7197,; 
Flat Plate PV,None,6856.65,NA,NA,; 
PVWatts,Residential,6834.58,12.0307,NA,; 
PVWatts,Commercial,341305,5.55717,NA,; 
PVWatts,Single Owner,35151256,11.4175,11.7379,; 
PVWatts,Leveraged Partnership Flip,35151256,12.0227,16.6947,; 
PVWatts,All Equity Partnership Flip,35151256,21.7304,30.7931,; 
PVWatts,Sale Leaseback,35151256,15.2029,14.5252,; 
PVWatts,None,6834.58,NA,NA,; 
High-X Concentrating PV,Single Owner,2.17767e+006,25.233,26.0538,; 
High-X Concentrating PV,Leveraged Partnership Flip,2.17767e+006,27.6635,41.0142,; 
High-X Concentrating PV,All Equity Partnership Flip,2.17767e+006,52.2147,76.5646,; 
High-X Concentrating PV,Sale Leaseback,2.17767e+006,34.3275,32.4822,; 
High-X Concentrating PV,None,2.17767e+006,NA,NA,; 
Wind Power,Residential,7843.43,15.3532,NA,; 
Wind Power,Commercial,236186,0.424494,NA,; 
Wind Power,Single Owner,256785664,4.47073,2.83242,; 
Wind Power,Leveraged Partnership Flip,256785664,4.66705,4.74265,; 
Wind Power,All Equity Partnership Flip,256785664,5.30949,4.21088,; 
Wind Power,Sale Leaseback,256785664,4.69502,2.76863,; 
Wind Power,None,256785664,NA,NA,; 
Biopower,Commercial,59882984,10.4903,NA,; 
Biopower,Single Owner,300885056,17.3127,17.4839,; 
Biopower,Leveraged Partnership Flip,300885056,17.1459,19.8406,; 
Biopower,All Equity Partnership Flip,300885056,22.6525,27.7855,; 
Biopower,Sale Leaseback,300885056,18.3857,18.035,; 
Biopower,None,59882984,NA,NA,; 
Geothermal Power,Single Owner,NA,8.03012,8.23883,; 
Geothermal Power,Leveraged Partnership Flip,NA,7.81636,9.70563,; 
Geothermal Power,All Equity Partnership Flip,NA,10.2799,12.4299,; 
Geothermal Power,Sale Leaseback,NA,8.55744,8.42025,; 
Geothermal Power,None,NA,NA,NA,; 
Solar Water Heating,Residential,1630.3,36.6832,NA,; 
Solar Water Heating,Commercial,2973.89,30.0036,NA,; 
Solar Water Heating,None,1630.3,NA,NA,; 
Generic System,Residential,6266.31,24.8516,NA,; 
Generic System,Commercial,6266.31,13.0964,NA,; 
Generic System,Single Owner,366658560,32.0692,32.8566,; 
Generic System,Leveraged Partnership Flip,366658560,32.8192,35.6745,; 
Generic System,All Equity Partnership Flip,366658560,55.5255,74.7372,; 
Generic System,Sale Leaseback,366658560,41.0485,39.5613,; 
Generic System,None,366658560,NA,NA,; 
Physical Trough,Commercial,350447072,6.93267,NA,; Notice: time 27622800.00 { Controller 3 }:\ 	After 21 iterations, the controller convergence error of 1.04434 could not resolve below the tolerance of 0.001. Check that results at this timestep are not unreasonably biasing annual metrics. Notice: time 27622800.00 { Controller 3 }:\ 	After 21 iterations, the controller convergence error of 1.04441 could not resolve below the tolerance of 0.001. Check that results at this timestep are not unreasonably biasing annual metrics.
Physical Trough,Single Owner,350447072,17.5464,18.1056,; Notice: time 27622800.00 { Controller 3 }:\ 	After 21 iterations, the controller convergence error of 1.04434 could not resolve below the tolerance of 0.001. Check that results at this timestep are not unreasonably biasing annual metrics. Notice: time 27622800.00 { Controller 3 }:\ 	After 21 iterations, the controller convergence error of 1.04441 could not resolve below the tolerance of 0.001. Check that results at this timestep are not unreasonably biasing annual metrics.
Physical Trough,Leveraged Partnership Flip,350447072,18.5174,27.1097,; Notice: time 27622800.00 { Controller 3 }:\ 	After 21 iterations, the controller convergence error of 1.04434 could not resolve below the tolerance of 0.001. Check that results at this timestep are not unreasonably biasing annual metrics. Notice: time 27622800.00 { Controller 3 }:\ 	After 21 iterations, the controller convergence error of 1.04441 could not resolve below the tolerance of 0.001. Check that results at this timestep are not unreasonably biasing annual metrics.
Physical Trough,All Equity Partnership Flip,350447072,36.6634,54.0383,; Notice: time 27622800.00 { Controller 3 }:\ 	After 21 iterations, the controller convergence error of 1.04434 could not resolve below the tolerance of 0.001. Check that results at this timestep are not unreasonably biasing annual metrics. Notice: time 27622800.00 { Controller 3 }:\ 	After 21 iterations, the controller convergence error of 1.04441 could not resolve below the tolerance of 0.001. Check that results at this timestep are not unreasonably biasing annual metrics.
Physical Trough,Sale Leaseback,350447072,24.3977,23.1721,; Notice: time 27622800.00 { Controller 3 }:\ 	After 21 iterations, the controller convergence error of 1.04434 could not resolve below the tolerance of 0.001. Check that results at this timestep are not unreasonably biasing annual metrics. Notice: time 27622800.00 { Controller 3 }:\ 	After 21 iterations, the controller convergence error of 1.04441 could not resolve below the tolerance of 0.001. Check that results at this timestep are not unreasonably biasing annual metrics.
Physical Trough,None,350447072,NA,NA,; Notice: time 27622800.00 { Controller 3 }:\ 	After 21 iterations, the controller convergence error of 1.04434 could not resolve below the tolerance of 0.001. Check that results at this timestep are not unreasonably biasing annual metrics. Notice: time 27622800.00 { Controller 3 }:\ 	After 21 iterations, the controller convergence error of 1.04441 could not resolve below the tolerance of 0.001. Check that results at this timestep are not unreasonably biasing annual metrics.
Empirical Trough,Commercial,344411680,7.11225,NA,; 
Empirical Trough,Single Owner,344411680,17.9673,18.5409,; 
Empirical Trough,Leveraged Partnership Flip,344411680,20.2913,29.8305,; 
Empirical Trough,All Equity Partnership Flip,344411680,40.4493,59.7544,; 
Empirical Trough,Sale Leaseback,344411680,26.7725,25.4112,; 
Empirical Trough,None,344411680,NA,NA,; 
MSPT,Single Owner,546110912,12.55,12.9519,; 
MSPT,Leveraged Partnership Flip,524608320,13.2516,19.3807,; 
MSPT,All Equity Partnership Flip,524608320,26.2003,38.5988,; 
MSPT,Sale Leaseback,524608320,17.4164,16.5421,; 
DSPT,Single Owner,261477296,14.0182,14.4395,; 
DSPT,Leveraged Partnership Flip,250378512,15.029,21.5903,; 
DSPT,All Equity Partnership Flip,250378512,28.9058,42.1846,; 
DSPT,Sale Leaseback,250378512,19.9123,18.9739,; 
MSLF,Commercial,306199296,16.7259,NA,; 
MSLF,Single Owner,306199296,22.3505,23.0552,; 
MSLF,Leveraged Partnership Flip,306199296,21.6733,32.4089,; 
MSLF,All Equity Partnership Flip,306199296,44.3869,66.1501,; 
MSLF,Sale Leaseback,306199296,29.0238,27.4886,; 
MSLF,None,306199296,NA,NA,; 
DSLF,Commercial,231961216,8.28587,NA,; 
DSLF,Single Owner,231961216,19.4966,20.2093,; 
DSLF,Leveraged Partnership Flip,231961216,20.728,31.6121,; 
DSLF,All Equity Partnership Flip,231961216,43.7769,65.8748,; 
DSLF,Sale Leaseback,231961216,28.4736,26.9132,; 
DSLF,None,231961216,NA,NA,; 
Dish Stirling,Commercial,188473424,5.41855,NA,; 
Dish Stirling,Single Owner,188473424,16.6818,17.103,; 
Dish Stirling,Leveraged Partnership Flip,188473424,17.4283,23.9878,; 
Dish Stirling,All Equity Partnership Flip,188473424,31.1774,44.318,; 
Dish Stirling,Sale Leaseback,188473424,22.4709,21.5429,; 
Dish Stirling,None,188473424,NA,NA,; 
Generic CSP System,Commercial,427387552,5.32914,NA,; 
Generic CSP System,Single Owner,427387552,14.591,15.0535,; 
Generic CSP System,Leveraged Partnership Flip,427387552,15.3925,22.4715,; 
Generic CSP System,All Equity Partnership Flip,427387552,30.4084,44.7838,; 
Generic CSP System,Sale Leaseback,427387552,20.2528,19.2389,; 
Generic CSP System,None,427387552,NA,NA,; 
